                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1894,                  3.937,                 2.1168,                0.74562,                0.06842,                0.11074,                0.07778,                 1.0636,                 3.1357,                 1.4786,              0.0001428,              0.0001428,              0.0001428
                      2,                 1.2294,                 3.3968,                 1.5443,                 0.7566,                0.08492,                0.16175,                0.09419,                 1.4944,                 2.9882,                 1.7099,             0.00028984,             0.00028984,             0.00028984
                      3,                0.94055,                 2.8484,                 1.3621,                0.22261,                0.65634,                0.26636,                0.22886,                0.64878,                  2.363,                 1.1275,             0.00043391,             0.00043391,             0.00043391
                      4,                0.82285,                 2.4253,                 1.2783,                0.32363,                0.52496,                0.38933,                0.31833,                0.69126,                 2.0749,                 1.1531,             0.00057502,             0.00057502,             0.00057502
                      5,                0.78999,                  2.117,                 1.2336,                0.23948,                0.74314,                0.43559,                 0.3824,                0.56997,                  1.958,                 1.0677,             0.00068573,             0.00068573,             0.00068573
                      6,                 0.7619,                 1.9864,                 1.1944,                0.41795,                0.71719,                0.55907,                0.49656,                0.48277,                 1.7204,                 1.0056,             0.00067866,             0.00067866,             0.00067866
                      7,                0.71834,                  1.846,                 1.1811,                0.48501,                0.64518,                0.56316,                0.50289,                0.47647,                 1.5364,                 1.0055,             0.00067159,             0.00067159,             0.00067159
                      8,                0.69475,                 1.7581,                 1.1729,                0.57881,                0.67476,                0.72328,                 0.6512,                0.44395,                 1.3174,                 1.0098,             0.00066452,             0.00066452,             0.00066452
                      9,                0.67333,                  1.651,                 1.1586,                0.60217,                0.77592,                0.75709,                0.68392,                 0.4342,                 1.2945,                 1.0202,             0.00065745,             0.00065745,             0.00065745
                     10,                0.65778,                 1.4801,                 1.1261,                0.65626,                 0.7098,                0.74016,                0.68284,                0.39824,                 1.2909,                0.98786,             0.00065038,             0.00065038,             0.00065038
                     11,                0.61864,                 1.4422,                 1.1058,                0.75839,                0.67437,                0.81145,                0.73279,                0.46482,                 1.2332,                0.99345,             0.00064331,             0.00064331,             0.00064331
                     12,                0.64335,                 1.3793,                 1.1158,                0.79173,                0.84593,                0.92098,                0.84868,                0.41859,                0.91273,                0.93667,             0.00063625,             0.00063625,             0.00063625
                     13,                0.63661,                  1.336,                 1.1121,                0.87183,                0.88903,                0.94232,                0.87426,                0.38524,                0.86165,                0.95805,             0.00062918,             0.00062918,             0.00062918
                     14,                0.62181,                 1.2316,                 1.1014,                0.80292,                0.91013,                0.95992,                0.89202,                0.38927,                0.84769,                0.95395,             0.00062211,             0.00062211,             0.00062211
                     15,                0.59848,                 1.2099,                 1.0832,                0.89209,                0.92491,                0.97487,                0.90894,                0.38785,                0.71128,                0.94288,             0.00061504,             0.00061504,             0.00061504
                     16,                0.57609,                 1.1045,                 1.0716,                0.89717,                0.90833,                0.97318,                0.90611,                0.38052,                0.70815,                0.92039,             0.00060797,             0.00060797,             0.00060797
                     17,                0.59845,                 1.0944,                 1.0741,                0.95838,                0.92617,                0.98644,                0.91946,                0.38945,                0.63635,                0.93822,              0.0006009,              0.0006009,              0.0006009
                     18,                0.59791,                  1.053,                 1.0858,                 0.9102,                0.85712,                0.97107,                0.88517,                0.41955,                0.77222,                0.94688,             0.00059383,             0.00059383,             0.00059383
                     19,                0.57686,                 1.0422,                 1.0893,                0.97385,                0.94012,                0.98973,                0.92922,                0.35156,                0.57135,                0.91495,             0.00058677,             0.00058677,             0.00058677
                     20,                0.54983,                0.95625,                 1.0703,                0.89209,                0.92558,                0.98139,                0.92213,                0.36725,                0.64303,                 0.9123,              0.0005797,              0.0005797,              0.0005797
                     21,                0.56865,                 0.9522,                  1.078,                0.97357,                0.98422,                0.99419,                0.93411,                 0.3653,                0.51704,                0.91807,             0.00057263,             0.00057263,             0.00057263
                     22,                0.55314,                0.91981,                 1.0563,                0.94255,                0.96736,                0.99269,                0.93572,                0.35351,                0.52819,                0.91156,             0.00056556,             0.00056556,             0.00056556
                     23,                 0.5528,                0.89785,                 1.0553,                0.95635,                0.96902,                0.99354,                0.94292,                 0.3459,                0.48548,                0.90079,             0.00055849,             0.00055849,             0.00055849
                     24,                0.55361,                0.93985,                 1.0529,                0.98411,                0.97563,                0.99484,                0.93888,                0.35063,                0.46134,                0.90324,             0.00055142,             0.00055142,             0.00055142
                     25,                0.53197,                0.87895,                  1.045,                0.98209,                0.97404,                0.99367,                0.93539,                0.34764,                0.45313,                0.91356,             0.00054435,             0.00054435,             0.00054435
                     26,                0.53493,                0.91388,                 1.0441,                 0.9562,                0.96973,                0.99328,                 0.9397,                0.34321,                0.46701,                0.90121,             0.00053728,             0.00053728,             0.00053728
                     27,                0.51197,                0.85594,                 1.0356,                0.96467,                0.97078,                0.99113,                0.94265,                0.33674,                0.46878,                 0.8856,             0.00053022,             0.00053022,             0.00053022
                     28,                0.52355,                0.82808,                 1.0373,                0.95085,                0.95497,                0.98667,                0.93283,                0.34486,                 0.5324,                0.89538,             0.00052315,             0.00052315,             0.00052315
                     29,                0.50254,                0.78798,                 1.0234,                0.99009,                0.98457,                0.99478,                0.94488,                 0.3377,                0.40972,                0.88541,             0.00051608,             0.00051608,             0.00051608
                     30,                0.50835,                0.75032,                 1.0227,                0.97507,                0.97192,                 0.9926,                0.94192,                0.33298,                0.44017,                0.88181,             0.00050901,             0.00050901,             0.00050901
                     31,                0.51515,                0.79355,                  1.028,                0.98718,                0.98723,                0.99444,                0.94931,                0.32872,                 0.4001,                0.87649,             0.00050194,             0.00050194,             0.00050194
                     32,                0.51659,                0.76233,                 1.0352,                0.97886,                0.99531,                0.99484,                0.94888,                0.33363,                0.41205,                0.87657,             0.00049487,             0.00049487,             0.00049487
                     33,                0.53505,                 0.7635,                 1.0378,                 0.9932,                0.98977,                  0.995,                0.94428,                0.34637,                0.39064,                0.88408,              0.0004878,              0.0004878,              0.0004878
                     34,                0.51918,                0.77137,                  1.032,                0.98944,                0.98952,                0.99494,                0.94435,                0.33658,                0.37939,                0.88501,             0.00048074,             0.00048074,             0.00048074
                     35,                0.50367,                0.70009,                 1.0184,                0.99254,                0.99228,                  0.995,                0.94829,                0.32673,                0.38573,                0.88207,             0.00047367,             0.00047367,             0.00047367
                     36,                 0.5056,                0.68491,                 1.0297,                0.99537,                0.99626,                  0.995,                0.94613,                0.33367,                0.35415,                0.87711,              0.0004666,              0.0004666,              0.0004666
                     37,                0.47069,                0.67338,                 1.0082,                0.98387,                0.99324,                  0.995,                0.94681,                0.32985,                0.38722,                0.87528,             0.00045953,             0.00045953,             0.00045953
                     38,                0.47871,                0.69374,                  1.008,                0.98909,                0.99797,                  0.995,                0.95396,                0.31653,                0.36302,                0.86442,             0.00045246,             0.00045246,             0.00045246
                     39,                0.49127,                0.72013,                 1.0118,                0.99209,                0.99423,                  0.995,                0.94441,                0.33058,                0.34994,                0.86687,             0.00044539,             0.00044539,             0.00044539
                     40,                0.47982,                 0.6481,                 1.0159,                0.98374,                      1,                  0.995,                0.95401,                0.31324,                0.36078,                0.86565,             0.00043832,             0.00043832,             0.00043832
                     41,                0.47408,                0.65967,                0.99893,                0.97486,                0.99206,                  0.995,                0.95735,                0.30988,                0.41001,                0.86938,             0.00043126,             0.00043126,             0.00043126
                     42,                 0.5043,                0.68435,                 1.0221,                 0.9908,                0.99773,                  0.995,                0.95746,                0.30986,                 0.3442,                0.86393,             0.00042419,             0.00042419,             0.00042419
                     43,                0.48237,                0.65345,                  1.004,                0.98943,                0.99151,                  0.995,                0.95919,                0.29967,                0.33605,                0.85907,             0.00041712,             0.00041712,             0.00041712
                     44,                0.48193,                0.66054,                 1.0238,                0.99574,                      1,                  0.995,                0.95792,                0.31235,                 0.3239,                0.86681,             0.00041005,             0.00041005,             0.00041005
